"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"12","spa","PUD","4","4","0.5218","0.3569","3-4",31,0.796557085538588
"12","swe","PSUD","6","2","0.6755","0.4881","6-7",56,0.856459516908446
"12","swe","PUD","1","4","0.4763","0.4421","1",56,0.797760808414051
"12","tha","PSUD","7","2","0.7972","0.4373","6-7",35,0.870905367548138
"12","tha","PUD","6","5","0.6972","0.4398","6-7",35,0.851084388148386
"12","tur","PSUD","7","4","0.6815","0.2364","6-7",69,0.636829795784338
"12","tur","PUD","7","4","0.6711","0.2379","6-7",69,0.634145682162422
"12","zho","PSUD","6","9","0.702","0.3752","6-7",46,0.721815261014313
"12","zho","PUD","7","7","0.5354","0.3236","6-7",46,0.654988537273095
"13","ara","PSUD","5","3","0.6885","0.3255","5",43,0.826409172143865
"13","ara","PUD","5","3","0.6629","0.3004","5",43,0.799306122284782
"13","ces","PSUD","7","3","0.6357","0.4032","6-7",73,0.846733613985036
"13","ces","PUD","4","3","0.5317","0.4011","3-4",73,0.805753852204238
"13","deu","PSUD","4","4","0.5447","0.2319","3-4",53,0.701571949901933
"13","deu","PUD","4","4","0.5035","0.166","3-4",53,0.57698958179654
"13","eng","PSUD","4","4","0.6115","0.3146","3-4",57,0.85304565643563
"13","eng","PUD","4","6","0.4602","0.3231","3-4",57,0.78918361928664
"13","fin","PSUD","7","3","0.6791","0.4173","6-7",74,0.809253339402005
"13","fin","PUD","7","3","0.6228","0.391","6-7",74,0.773869570944264
"13","fra","PSUD","3","4","0.6148","0.3862","3-4",28,0.883290975431163
"13","fra","PUD","1","5","0.4646","0.4397","1",28,0.815656684606403
"13","hin","PSUD","5","2","0.7925","0.2755","5",32,0.642646125055954
"13","hin","PUD","5","3","0.5858","0.2675","5",32,0.667491855360107
"13","ind","PSUD","5","3","0.6884","0.3613","5",56,0.863505780643709
"13","ind","PUD","6","6","0.6709","0.4008","6-7",56,0.827835834028476
"13","isl","PSUD","4","3","0.6954","0.3777","3-4",49,0.877819161743506
"13","isl","PUD","4","5","0.5132","0.3233","3-4",49,0.821128000736818
"13","ita","PSUD","4","4","0.6216","0.3061","3-4",44,0.865066563800003
"13","ita","PUD","4","6","0.4999","0.1931","3-4",44,0.801521443100302
"13","jpn","PSUD","7","5","0.7342","0.2455","6-7",24,0.764020522941564
"13","jpn","PUD","4","5","0.5164","0.2108","3-4",24,0.800528937525842
"13","kor","PSUD","7","5","0.6789","0.2275","6-7",76,0.641049369055039
"13","kor","PUD","7","6","0.7984","0.2711","6-7",76,0.6460872091104
"13","pol","PSUD","4","3","0.6835","0.3548","3-4",73,0.862938678849744
"13","pol","PUD","4","3","0.6047","0.3655","3-4",73,0.831066538169257
"13","por","PSUD","4","4","0.6426","0.2695","3-4",39,0.865503122883233
"13","por","PUD","4","5","0.5323","0.2731","3-4",39,0.827030103244678
"13","rus","PSUD","4","3","0.6554","0.3362","3-4",47,0.834380780346424
"13","rus","PUD","3","4","0.5149","0.4059","3-4",47,0.81776946224117
"13","spa","PSUD","4","5","0.6394","0.0746","3-4",31,0.875708460525059
"13","spa","PUD","4","5","0.5454","0.2148","3-4",31,0.834850459426011
"13","swe","PSUD","4","3","0.6604","0.357","3-4",58,0.850087672997792
"13","swe","PUD","4","5","0.4795","0.3079","3-4",58,0.782357307531988
"13","tha","PSUD","5","2","0.7806","0.4","5",32,0.853476385817272
"13","tha","PUD","5","3","0.6154","0.3663","5",32,0.851702409556028
"13","tur","PSUD","7","6","0.8039","0.2625","6-7",76,0.62952838818609
"13","tur","PUD","7","4","0.8007","0.2609","6-7",76,0.634672925937806
"13","zho","PSUD","6","11","0.7071","0.3225","6-7",59,0.673603031929497
"13","zho","PUD","7","4","0.6268","0.3295","6-7",59,0.664827233166951
"14","ara","PSUD","5","3","0.7276","0.3021","5",50,0.856985998852769
"14","ara","PUD","5","2","0.7469","0.3654","5",50,0.827401565472306
"14","ces","PSUD","3","3","0.636","0.384","3-4",52,0.850827668358235
"14","ces","PUD","4","5","0.505","0.3038","3-4",52,0.813806214815653
"14","deu","PSUD","4","4","0.5328","0.2369","3-4",48,0.737118630691389
"14","deu","PUD","4","4","0.5061","0.2257","3-4",48,0.694449484108639
"14","eng","PSUD","4","5","0.5821","0.2555","3-4",43,0.857969696003941
"14","eng","PUD","4","6","0.4603","0.252","3-4",43,0.782895670177684
"14","fin","PSUD","6","3","0.6029","0.3819","6-7",60,0.840636899272467
"14","fin","PUD","4","5","0.5169","0.2684","3-4",60,0.823870672804625
